Stream / VOD Title,Game,Alt. Script,Platform,Year,Stream Date,URL,Notes
Osman 10:19 any% speedrun,Osman,,Arcade,1996,2014-08-29,https://www.twitch.tv/videos/42575295,
Osman any% speedrun 9:18,Osman,a,Arcade,1996,2014-09-01,https://www.twitch.tv/videos/47844014,
Insanity's Blade First Playthrough,Insanity's Blade,,PC,2014,2014-09-10,https://www.twitch.tv/videos/43312283,
NEVER REPEAT THE TRAGEDY LIKE THIS,,,,,2014-10-01,https://www.twitch.tv/videos/47599037,just a clip
Violent Storm 1st loop 20:17,Violent Storm,,Arcade,1993,2014-10-26,https://www.twitch.tv/videos/45214067,
AN AVERAGE BADLANDS CREDIT,Badlands,,Laserdisc,1983,2014-11-03,https://www.twitch.tv/videos/45043617,just a clip
Badlands first loop 1cc!,Badlands,,Laserdisc,1983,2014-11-03,https://www.twitch.tv/videos/45043635,
Guy looked bad,Badlands,,Laserdisc,1983,2014-11-03,https://www.twitch.tv/videos/45043573,just a clip
Station guy decides to shoot,Badlands,,Laserdisc,1983,2014-11-03,https://www.twitch.tv/videos/45043560,just a clip
Awesome Korean beat-em-up full game playthrough,Eojjeonji Joheun II-i Saenggil Geot Gateun Jeonyeok,어쩐지 좋은 일이 생길 것 같은 저녁,PC,1998,2014-11-08,https://www.twitch.tv/videos/44959421,
TRYING TO USE THE FORKLIFT IN WILDCATS,Wild C.A.T.S.,,SNES,1995,2014-11-12,https://www.twitch.tv/videos/44890423,just a clip
Vanishing Racer playthrough (THIS GAME IS AWESOME),Banishing Racer,バニシングレーサー,Gameboy,1991,2014-11-23,https://www.twitch.tv/videos/43183046,
Battle Unit Zeoth playthrough,Battle Unit Zeoth,,Gameboy,1990,2014-11-23,https://www.twitch.tv/videos/43182673,
Ikari no Yousai playthrough (THE FORTRESS OF RAGE),Ikari no Yousai (Fortified Zone),,Gameboy,1991,2014-11-23,https://www.twitch.tv/videos/43182728,
Rubble Saver playthrough (FRIKKIN AWESOME GAME),Rubble Saver,,Gameboy,1991,2014-11-23,https://www.twitch.tv/videos/43182780,
Spartan X for Gameboy playthrough,Spartan X (Kung Fu Master),,Gameboy,1990,2014-11-23,https://www.twitch.tv/videos/43182962,
Sumo Fighter playthrough,Sumo Fighter,相撲ファイター 東海道場所,Gameboy,1991,2014-11-23,https://www.twitch.tv/videos/43182649,
Ultraman Chou Toushi Gekiden playthrough (WTF WITH HOW THIS GAME TURNED OUT HAHAHAHA),Ultraman Chou Toushi Gekiden,ウルトラマン超闘士激伝,Gameboy,1994,2014-11-23,https://www.twitch.tv/videos/43182763,
"Vattle Guice playthrough (AWESOME COVER ART, SHT GAME)",Vattle Guice,,Gameboy,1991,2014-11-23,https://www.twitch.tv/videos/43182986,
Zoids Densetsu playthrough,Zoids Densetsu,ゾイド伝説,Gameboy,1990,2014-11-23,https://www.twitch.tv/videos/43182873,
DISCOVERING THE AWSOMENESS OF BLADE ON GBC,Blade,,GBC,2000,2014-11-23,https://www.twitch.tv/videos/43183028,
PLAYTHROUGH OF A TOTAL LOAD OF GARBAGE,Run=Dim: Return to Earth,,Wonderswan Color,2002,2014-11-23,https://www.twitch.tv/videos/43182552,
THE MOST FRIKKIN BORING MASTER SYSTEM GAME,Double Hawk,,SMS,1990,2014-12-11,https://www.twitch.tv/videos/44748645,just a clip
MILACLE MAN,Running Battle,,SMS,1991,2014-12-11,https://www.twitch.tv/videos/44748803,just a clip
Dark Seraphim has awesome looking bosses,Dark Seraphim,ダクセラフィム,PC-98,1995,2015-01-12,https://www.twitch.tv/videos/42108180,just a clip
YOLANDA - First few attempts,Yolanda,,Amiga,1990,2015-03-07,https://www.twitch.tv/videos/41079313,
THE OFFICIAL GREENPEACE GAME,Rainbow Warrior,,Atari ST,1989,2015-03-07,https://www.twitch.tv/videos/41079398,
FISHING BATTLE AGAINST 800 POUND MARLIN,Matsukata Hiroki's Super Trolling,松方弘樹のスーパートローリング,SNES,1995,2015-03-15,https://www.twitch.tv/videos/40931721,just a clip
Riot City is a videogame,Riot City,,Arcade,1991,2015-11-02,https://www.twitch.tv/videos/23609351,just a clip
First ever credit in Dump Matsumoto,Dump Matsumoto,,Arcade,1986,2015-12-16,https://www.twitch.tv/videos/30257325,just a clip
Finishing Ancient Glory for the first time,Ancient Glory,,Apple IIgs,1993,2015-12-18,https://www.twitch.tv/videos/31565895,
My attempt to finish Neo Hunter,Neo Hunter,,DOS,1996,2015-12-23,https://www.twitch.tv/videos/33143864,
Out of Control Unboxing,Unboxing Stream,,,,2016-01-01,https://archive.org/details/macaw-45-out-of-control-unboxing,can't find the exact date or stream title
DIOS,DIOS,ディオス,PC-88,1989,2016-01-01,https://archive.org/details/macaw-45-dios,can't find the exact date or stream title
Dante's Divine Comedy,Gate of Souls - Dante's Divine Comedy,魂の門 ダンテ「神曲」より,PC-98,1992,2016-01-01,https://archive.org/details/macaw-45-tamashii-no-mon-dante-shinkyoku-yori,can't find the exact date or stream title
Holy City of God Playthrough,Kami no Seito,神の聖都,PC-88,1989,2016-01-06,https://www.twitch.tv/videos/35053531,
"Did Hitler really die in 1945? - Speculative thriller ""Signatory"" first playthrough",Signatory,シグナトリー -調印者-,X68000,1991,2016-01-10,https://www.twitch.tv/videos/36905839,
Download 1 & 2 for PC Engine - full playthroughs,"Download, Download 2",,PCE,,2016-01-17,https://www.twitch.tv/videos/36906096,
Yurou for PC98 - Last boss and ending,Yurou - Transient Sands,憂楼 ～Transient Sands～,PC-98,1996,2016-02-01,https://www.twitch.tv/videos/39314454,
LordBBH dies,Power Climb,パワークライム,PC,1997,2016-04-21,https://www.twitch.tv/videos/61933293,just a clip
The Alius Playthrough (Horror Adventure),The Alius,アリウス,PC,1996,2016-04-21,https://www.twitch.tv/videos/61932072,
Twin Goddesses Playthrough,Twin Goddesses,,PS1,1994,2016-05-26,https://www.twitch.tv/videos/68716118,
Matsumura Kunihiro Den Playthrough,Matsumura Kunihiro Den: Saikyou no Rekishi wo Nurikaero!,松村邦洋伝 最強の歴史をぬりかえろ!!,SNES,1994,2016-05-26,https://www.twitch.tv/videos/68716643,
Osu!! Karate Bu - Story Mode Playthrough,Osu!! Karate Bu,押忍!! 空手部,SNES,1994,2016-05-26,https://www.twitch.tv/videos/68714794,
Blazing Tornado - 1 Credit Clear,Blazing Tornado,,Arcade,1994,2016-06-06,https://www.twitch.tv/videos/70858026,
Blazing Tornado refuses to cooperate,Blazing Tornado,,Arcade,1994,2016-06-06,https://www.twitch.tv/videos/70858308,just a clip
